listing_id,date
69074,2011-02-14
69074,2011-05-05
69074,2011-07-27
69074,2011-08-01
69074,2011-09-03
69074,2011-09-17
69074,2011-09-21
69074,2011-09-26
69074,2011-10-11
69074,2011-11-18
69074,2012-01-07
69074,2012-02-27
69074,2012-06-10
69074,2012-06-29
69074,2012-10-09
69074,2013-02-16
69074,2013-05-20
69074,2013-08-05
69074,2013-08-25
69074,2013-10-04
69074,2013-10-28
69074,2013-10-30
69074,2014-01-04
69074,2014-01-06
69074,2014-02-05
69074,2014-05-19
69074,2014-08-31
69074,2014-09-09
69074,2015-01-03
69074,2015-02-26
69074,2015-04-10
69074,2015-08-17
69074,2015-09-01
69074,2015-09-09
69074,2015-10-01
69074,2015-10-12
69074,2015-12-31
69074,2016-01-03
69074,2016-03-13
69074,2016-04-16
69074,2016-04-25
69074,2016-05-04
69074,2016-05-14
69074,2016-07-03
69074,2016-07-06
69074,2016-07-13
69074,2016-08-08
69074,2016-08-15
69074,2016-08-29
69074,2016-09-05
69074,2016-09-16
69074,2016-10-13
69074,2016-10-17
69074,2016-10-31
69074,2016-11-19
69074,2016-11-23
69074,2016-11-25
69074,2016-12-13
69074,2016-12-25
69074,2016-12-31
69074,2017-01-07
69074,2017-02-01
69074,2017-02-24
69074,2017-03-18
69074,2017-03-22
69074,2017-03-29
69074,2017-04-05
69074,2017-04-15
69074,2017-06-12
69074,2017-06-15
69074,2017-07-15
69074,2017-07-18
69074,2017-07-26
69074,2017-08-06
69074,2017-08-13
69074,2017-09-19
69074,2017-09-26
69074,2017-10-02
69074,2017-10-30
69074,2017-12-03
69074,2017-12-09
69074,2017-12-11
69074,2017-12-23
69074,2017-12-27
69074,2018-01-02
69074,2018-01-09
69074,2018-01-15
69074,2018-03-10
69074,2018-03-23
69074,2018-04-01
69074,2018-04-08
69074,2018-04-15
69074,2018-04-18
69074,2018-05-02
69074,2018-05-05
69074,2018-05-12
69074,2018-05-25
69074,2018-05-29
69074,2018-06-03
69074,2018-06-08
69074,2018-06-16
69074,2018-06-18
69074,2018-06-25
69074,2018-07-07
69074,2018-07-13
69074,2018-07-22
69074,2018-08-03
69074,2018-08-09
69074,2018-08-16
69074,2018-08-22
69074,2018-09-02
69074,2018-09-27
69074,2018-10-07
69074,2018-10-15
69074,2018-10-22
69074,2018-11-17
69074,2018-11-24
69074,2018-12-04
69074,2018-12-12
69074,2018-12-16
69074,2019-01-06
69074,2019-02-08
69074,2019-03-24
69074,2019-03-29
69074,2019-04-06
69074,2019-04-16
69074,2019-04-19
69074,2019-04-22
69074,2019-04-29
69074,2019-05-02
69074,2019-08-03
69074,2019-09-05
69074,2019-10-05
69074,2020-03-24
75083,2011-03-05
75083,2011-03-20
75083,2011-03-22
75083,2011-04-02
75083,2011-04-14
75083,2011-04-18
75083,2011-04-27
75083,2011-05-01
75083,2011-05-08
75083,2011-05-23
75083,2011-06-14
75083,2011-07-06
75083,2011-07-20
75083,2011-07-25
75083,2011-08-03
75083,2011-08-09
75083,2011-08-24
75083,2011-08-31
75083,2011-09-15
75083,2011-09-29
75083,2011-10-22
75083,2011-11-01
75083,2011-11-11
75083,2011-12-05
75083,2011-12-18
75083,2012-01-09
75083,2012-01-16
75083,2012-01-19
75083,2012-02-01
75083,2012-02-15
75083,2012-03-06
75083,2012-03-28
75083,2012-04-04
75083,2012-04-12
75083,2012-04-26
75083,2012-04-30
75083,2012-05-12
75083,2012-05-16
75083,2012-05-23
75083,2012-06-05
75083,2012-06-22
75083,2012-07-02
75083,2012-07-10
75083,2012-08-07
75083,2012-08-10
75083,2012-08-14
75083,2012-08-16
75083,2012-09-09
75083,2012-09-13
75083,2012-09-22
75083,2012-09-28
75083,2012-10-09
75083,2012-10-15
75083,2012-10-20
75083,2012-10-31
75083,2012-11-07
75083,2012-11-09
75083,2012-11-20
75083,2012-11-26
75083,2012-12-05
75083,2012-12-14
75083,2012-12-29
75083,2012-12-31
75083,2013-01-03
75083,2013-01-09
75083,2013-01-18
75083,2013-01-22
75083,2013-01-29
75083,2013-02-02
75083,2013-02-04
75083,2013-02-15
75083,2013-02-18
75083,2013-03-01
75083,2013-03-06
75083,2013-03-26
75083,2013-04-01
75083,2013-04-03
75083,2013-04-09
75083,2013-04-19
75083,2013-04-26
75083,2013-05-08
75083,2013-05-20
75083,2013-05-27
75083,2013-06-04
75083,2013-06-16
75083,2013-06-20
75083,2013-06-24
75083,2013-07-01
75083,2013-07-12
75083,2013-07-14
75083,2013-07-20
75083,2013-07-22
75083,2013-07-24
75083,2013-07-29
75083,2013-08-09
75083,2013-08-20
75083,2013-09-02
75083,2013-09-07
75083,2013-09-21
75083,2013-09-29
75083,2013-10-06
75083,2013-10-11
75083,2013-10-14
75083,2013-10-25
75083,2013-10-27
75083,2013-10-30
75083,2013-11-01
75083,2013-11-04
75083,2013-11-09
75083,2013-11-11
75083,2013-11-16
75083,2013-11-19
75083,2013-11-22
75083,2013-11-29
75083,2013-12-02
75083,2013-12-07
75083,2014-01-03
75083,2014-01-10
75083,2014-01-21
75083,2014-02-15
75083,2014-02-23
75083,2014-03-04
75083,2014-03-06
75083,2014-03-10
75083,2014-03-21
75083,2014-04-01
75083,2014-04-04
75083,2014-04-09
75083,2014-04-15
75083,2014-04-17
75083,2014-04-22
75083,2014-04-29
75083,2014-05-06
75083,2014-05-11
75083,2014-05-14
75083,2014-05-17
75083,2014-06-08
75083,2014-06-16
75083,2014-06-20
75083,2014-07-02
75083,2014-07-05
75083,2014-07-18
75083,2014-07-26
75083,2014-07-30
75083,2014-08-16
75083,2014-08-19
75083,2014-08-25
75083,2014-08-28
75083,2014-09-03
75083,2014-09-14
75083,2014-09-23
75083,2014-10-04
75083,2014-10-14
75083,2014-10-16
75083,2014-10-18
75083,2014-10-25
75083,2014-11-01
75083,2014-11-09
75083,2014-11-16
75083,2014-11-26
75083,2014-12-03
75083,2014-12-05
75083,2014-12-09
75083,2014-12-11
75083,2014-12-15
75083,2014-12-19
75083,2015-01-03
75083,2015-01-06
75083,2015-01-14
75083,2015-01-17
75083,2015-01-24
75083,2015-01-27
75083,2015-02-13
75083,2015-03-14
75083,2015-04-03
75083,2015-05-05
75083,2015-05-07
75083,2015-05-12
75083,2015-05-23
75083,2015-05-27
75083,2015-06-09
75083,2015-06-17
75083,2015-06-29
75083,2015-07-15
75083,2015-07-17
75083,2015-08-12
75083,2015-09-01
75083,2015-09-22
75083,2015-10-02
75083,2015-10-09
75083,2015-10-19
75083,2015-10-24
75083,2015-11-08
75083,2015-11-25
75083,2015-12-07
75083,2016-01-18
75083,2016-02-29
75083,2016-03-10
75083,2016-04-05
75083,2016-04-11
75083,2016-04-17
75083,2016-04-29
75083,2016-05-03
75083,2016-08-13
75083,2016-10-11
75083,2016-10-13
75083,2016-10-22
75083,2016-11-14
75083,2016-11-25
75083,2016-12-01
75083,2016-12-11
75083,2016-12-16
75083,2016-12-18
75083,2017-01-06
75083,2017-01-10
75083,2017-01-12
75083,2017-01-17
75083,2017-01-21
75083,2017-03-24
75083,2017-03-26
75083,2017-03-31
75083,2017-04-15
75083,2017-04-30
75083,2017-05-06
75083,2017-05-20
75083,2017-05-26
75083,2017-08-04
75083,2017-08-14
75083,2020-04-18
103760,2011-06-19
103760,2011-07-04
103760,2011-07-08
103760,2011-07-17
103760,2011-07-23
103760,2011-08-08
103760,2011-08-13
103760,2011-08-25
103760,2011-09-03
103760,2011-09-05
103760,2011-09-08
103760,2011-09-15
103760,2011-09-20
103760,2011-10-09
103760,2011-10-11
103760,2011-10-16
103760,2011-10-21
103760,2011-10-24
103760,2011-11-07
103760,2011-11-15
103760,2011-11-22
103760,2011-11-30
103760,2011-12-19
103760,2012-01-09
103760,2012-01-13
103760,2012-02-01
103760,2012-02-28
103760,2012-03-22
103760,2012-04-11
103760,2012-04-19
103760,2012-04-23
103760,2012-04-30
103760,2012-05-15
103760,2012-05-21
103760,2012-05-28
103760,2012-06-01
103760,2012-06-12
103760,2012-06-22
103760,2012-06-25
103760,2012-06-30
103760,2012-07-05
103760,2012-08-01
103760,2012-08-13
103760,2012-08-25
103760,2012-08-28
103760,2012-09-04
103760,2012-10-02
103760,2012-10-06
103760,2012-11-01
103760,2012-11-11
103760,2012-12-06
103760,2012-12-11
103760,2012-12-26
103760,2013-01-06
103760,2013-01-11
103760,2013-01-15
103760,2013-01-19
103760,2013-01-22
103760,2013-02-05
103760,2013-02-15
103760,2013-02-17
103760,2013-02-26
103760,2013-03-12
103760,2013-03-17
103760,2013-03-19
103760,2013-03-26
103760,2013-04-07
103760,2013-04-17
103760,2013-04-28
103760,2013-05-10
103760,2013-05-16
103760,2013-06-24
103760,2013-07-08
103760,2013-07-21
103760,2013-07-24
103760,2013-07-27
103760,2013-08-12
103760,2013-08-15
103760,2013-08-19
103760,2013-08-29
103760,2013-09-09
103760,2013-09-23
103760,2013-10-06
103760,2013-10-08
103760,2013-10-12
103760,2013-10-14
103760,2013-10-26
